Team,GP,W,L,Win %,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus/Minus,Month
Miami Heat,5,4,1,0.8,49.0,115.6,40.2,85.6,47.0,13.0,33.2,39.2,22.2,30.8,72.1,9.6,37.6,47.2,24.8,20.8,9.2,7.0,4.8,25.2,24.8,8.2,October
Toronto Raptors,5,4,1,0.8,49.0,114.6,40.2,86.8,46.3,14.0,36.8,38.0,20.2,23.0,87.8,8.0,41.6,49.6,24.2,19.2,7.8,5.0,5.2,23.8,22.2,9.4,October
Utah Jazz,5,4,1,0.8,48.0,101.0,36.8,77.8,47.3,10.6,28.2,37.6,16.8,21.6,77.8,5.0,38.4,43.4,20.8,18.6,7.6,3.6,4.6,24.4,23.2,8.6,October
Boston Celtics,4,3,1,0.75,48.0,109.8,39.5,96.0,41.1,13.0,36.5,35.6,17.8,25.0,71.0,12.3,34.8,47.0,22.0,11.0,8.0,5.8,5.3,23.8,27.3,6.5,October
Dallas Mavericks,4,3,1,0.75,48.0,114.8,39.5,86.8,45.5,12.8,40.8,31.3,23.0,31.0,74.2,9.8,36.0,45.8,24.0,13.0,6.8,5.0,2.8,19.3,27.0,4.0,October
Houston Rockets,4,3,1,0.75,48.0,128.0,42.5,94.3,45.1,15.5,47.8,32.5,27.5,33.8,81.5,11.8,34.8,46.5,26.8,15.0,7.3,5.3,4.8,23.8,27.8,0.5,October
Los Angeles Lakers,4,3,1,0.75,48.0,109.3,40.0,87.5,45.7,9.8,29.0,33.6,19.5,24.5,79.6,10.0,36.0,46.0,23.5,15.3,8.5,8.0,3.5,21.5,24.3,11.8,October
Minnesota Timberwolves,4,3,1,0.75,49.3,114.8,40.0,92.8,43.1,12.0,40.3,29.8,22.8,30.0,75.8,11.3,34.8,46.0,22.3,17.0,11.3,4.3,7.3,20.3,27.3,2.0,October
San Antonio Spurs,4,3,1,0.75,48.0,113.5,42.3,89.0,47.5,7.8,23.0,33.7,21.3,28.0,75.9,11.8,39.0,50.8,22.8,16.8,5.8,6.5,4.5,21.0,24.3,2.0,October
LA Clippers,6,4,2,0.667,48.0,114.2,41.7,84.0,49.6,10.8,29.5,36.7,20.0,25.5,78.4,8.3,33.7,42.0,22.5,16.7,7.7,4.5,3.8,25.0,24.7,4.7,October
Denver Nuggets,5,3,2,0.6,49.0,106.0,38.4,90.2,42.6,10.6,30.6,34.6,18.6,22.6,82.3,11.4,34.4,45.8,22.4,14.4,7.4,5.0,4.4,23.0,23.2,-0.4,October
Phoenix Suns,5,3,2,0.6,49.0,115.4,40.6,89.2,45.5,12.8,34.8,36.8,21.4,25.6,83.6,8.8,37.6,46.4,28.8,16.2,9.2,4.0,6.4,29.4,26.0,9.2,October
Portland Trail Blazers,5,3,2,0.6,48.0,111.0,40.0,89.0,44.9,10.8,29.6,36.5,20.2,24.4,82.8,8.6,38.2,46.8,17.4,16.2,7.2,5.8,4.0,27.0,22.2,0.8,October
Cleveland Cavaliers,4,2,2,0.5,48.0,106.0,39.8,86.5,46.0,10.5,32.0,32.8,16.0,21.8,73.6,10.5,37.8,48.3,21.8,16.5,5.5,4.8,4.8,19.5,21.0,-2.3,October
Milwaukee Bucks,4,2,2,0.5,49.3,119.3,43.3,91.8,47.1,16.0,45.8,35.0,16.8,25.3,66.3,6.0,42.8,48.8,25.8,14.0,6.8,6.3,4.0,23.8,24.3,1.8,October
Orlando Magic,4,2,2,0.5,48.0,95.8,35.8,90.5,39.5,9.5,33.0,28.8,14.8,18.8,78.7,11.5,36.3,47.8,21.3,12.0,8.5,5.8,5.8,17.5,19.0,2.0,October
Atlanta Hawks,5,2,3,0.4,48.0,103.4,38.8,85.0,45.6,9.4,32.2,29.2,16.4,23.6,69.5,10.0,34.4,44.4,24.0,17.6,9.0,5.2,7.6,22.0,20.8,-1.0,October
Charlotte Hornets,5,2,3,0.4,48.0,108.0,39.8,86.0,46.3,15.0,35.8,41.9,13.4,18.6,72.0,10.0,32.4,42.4,25.4,19.6,5.8,3.8,6.2,21.4,21.2,-9.6,October
